borrower_type,household_size,income_month_1,income_month_2,income_month_3,income_month_4,income_month_5,income_month_6,employment_type,months_at_current_job,num_income_sources,upi_transactions_per_month,upi_avg_transaction_amount,upi_months_active,mobile_wallet_used,utility_bills_paid,utility_bills_total,rent_paid_on_time_months,total_rental_months,same_number_since_year,avg_monthly_recharge_amount,recharge_frequency_per_month,ecomm_orders_per_month,ecomm_return_rate,prepaid_orders_ratio,survey_q1,survey_q2,survey_q3,survey_q4,survey_q5,survey_q6,survey_q7,survey_q8,loan_amount_requested,loan_purpose,loan_tenure_months,defaulted
gig,5,45374.68,39142.23,32008.92,15487.82,31803.85,34028.68,daily-wage,22,4,74.4,2389.69,7.0,0.0,5,10,5.0,7.0,2014.0,477.53,2.37,7.9,0.222,0.5350438769169124,3.0,3.0,2.0,4.0,3.0,5.0,3.0,3.0,443300.0,education,25,0
rural,7,7391.45,7141.08,10047.57,6675.19,6850.72,12955.65,self-employed,10,1,1.1,732.56,2.0,0.0,3,21,,,2023.0,182.0,0.62,0.0,,,3.0,1.0,5.0,2.0,2.0,2.0,4.0,2.0,341200.0,agriculture,27,0
gig,4,8223.24,34439.31,36862.71,29557.91,21889.54,25733.41,self-employed,19,3,26.2,2020.26,21.0,1.0,6,17,5.0,9.0,2016.0,436.47,1.92,7.2,0.357,0.6676174660719966,4.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,397000.0,consumption,24,0
migrant,2,28172.09,26180.34,33874.77,24824.8,37843.49,29675.63,salaried-gig,12,3,63.5,2557.96,23.0,0.0,14,19,18.0,21.0,2014.0,580.48,2.45,5.4,0.222,0.6706505084165764,3.0,4.0,2.0,4.0,3.0,4.0,1.0,2.0,299800.0,consumption,13,0
migrant,2,32999.96,27066.59,28829.19,35968.86,29033.94,27656.95,self-employed,10,4,82.5,3316.73,20.0,0.0,6,7,17.0,20.0,2012.0,559.51,2.28,11.0,0.191,0.5735219785254586,3.0,5.0,2.0,4.0,3.0,5.0,2.0,5.0,314500.0,medical,7,0
rural,7,6031.74,6009.06,12016.55,5383.35,6969.7,9126.58,seasonal,8,1,29.4,342.48,5.0,0.0,2,17,,,2024.0,209.48,0.91,0.0,,,1.0,2.0,5.0,1.0,3.0,2.0,4.0,1.0,29400.0,agriculture,31,0
gig,5,21005.21,28148.01,51447.95,48658.86,36650.34,36887.98,salaried-gig,25,3,97.2,2724.54,31.0,0.0,15,21,,,2012.0,751.2,1.75,12.8,0.225,0.4938767099767817,3.0,4.0,2.0,4.0,4.0,3.0,2.0,4.0,110300.0,medical,56,0
gig,4,42272.76,34903.14,60263.42,30760.37,46212.82,47280.75,salaried-gig,31,3,91.0,3083.13,14.0,1.0,9,12,9.0,10.0,2021.0,642.94,2.61,12.8,0.204,0.9948919731390956,5.0,4.0,3.0,,4.0,4.0,2.0,3.0,88400.0,business,60,0
rural,6,10825.94,10673.83,20285.47,10378.07,10853.41,19984.82,daily-wage,24,3,17.6,1428.9,0.0,0.0,11,19,,,2019.0,254.75,1.39,10.5,0.412,0.8738038520865555,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,299200.0,medical,20,0
migrant,3,17119.78,17835.69,19944.41,20305.31,22010.58,19736.89,salaried-gig,6,2,35.3,1752.88,,1.0,6,17,2.0,6.0,2020.0,562.81,1.39,4.4,0.387,0.194528582024539,2.0,2.0,2.0,3.0,2.0,3.0,4.0,3.0,498100.0,consumption,45,0
rural,6,5534.09,6588.2,12622.89,6858.44,5349.06,13499.25,daily-wage,15,2,,,,,0,6,,,2021.0,256.63,0.74,0.0,,,1.0,2.0,5.0,,2.0,2.0,3.0,2.0,102500.0,business,53,1
gig,4,13749.64,21034.98,25305.38,22372.4,5754.36,21627.19,daily-wage,14,3,47.2,1613.99,0.0,1.0,5,23,5.0,19.0,2020.0,525.68,0.77,8.9,0.42,0.3693219007536754,2.0,3.0,5.0,2.0,3.0,1.0,4.0,3.0,59000.0,agriculture,16,0
migrant,4,27196.29,31373.89,27858.95,30341.79,23556.78,26471.46,daily-wage,16,3,73.5,2113.99,23.0,0.0,9,20,10.0,21.0,2021.0,633.69,2.16,10.3,0.265,0.4754633666681388,3.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,442700.0,education,53,0
gig,3,35338.79,36164.0,50617.83,30642.04,26175.04,32159.77,self-employed,25,3,60.3,2766.71,13.0,1.0,13,13,5.0,11.0,2018.0,550.57,1.9,10.5,0.243,0.7299972112287975,3.0,3.0,2.0,,5.0,3.0,3.0,4.0,26100.0,business,13,0
gig,2,35440.92,28094.81,24083.37,38869.7,25451.92,29529.52,salaried-gig,23,4,63.7,2363.6,24.0,0.0,15,23,8.0,16.0,2018.0,681.54,1.55,5.2,0.241,0.8705410633782705,4.0,5.0,2.0,5.0,4.0,3.0,3.0,4.0,459600.0,consumption,30,0
rural,6,16865.95,15021.39,23234.1,14499.14,12538.06,24698.69,seasonal,34,3,,,,,7,13,,,2018.0,305.9,1.67,0.0,,,4.0,3.0,3.0,3.0,4.0,2.0,4.0,2.0,287300.0,business,38,0
rural,4,8114.5,10866.1,19693.48,17100.21,13844.49,26230.92,self-employed,35,2,,,,,15,21,16.0,21.0,2020.0,409.98,1.15,0.0,,,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,204100.0,education,22,0
gig,3,60019.23,48207.27,37803.41,34577.88,20782.09,56802.94,salaried-gig,32,4,73.6,3000.94,28.0,1.0,21,22,7.0,7.0,2013.0,577.03,3.18,14.2,0.103,0.7795074599548438,4.0,4.0,1.0,5.0,5.0,5.0,1.0,3.0,165100.0,consumption,55,0
rural,4,8724.77,13503.29,21137.7,10985.36,12623.01,19790.2,seasonal,28,3,59.4,1297.27,20.0,0.0,10,20,,,2017.0,240.03,1.85,0.0,,,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,394000.0,agriculture,43,0
gig,4,37716.63,23543.96,18666.15,31718.12,35817.53,30852.44,self-employed,19,3,82.7,2382.61,15.0,1.0,13,18,8.0,20.0,2015.0,651.09,2.27,7.3,0.255,0.2788029079695185,4.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,309700.0,education,26,0
gig,5,22569.58,57560.74,63992.68,66069.29,43778.26,31844.39,daily-wage,35,4,106.1,3173.11,29.0,1.0,24,24,10.0,10.0,,835.38,3.01,20.0,0.108,0.8804010538446223,4.0,5.0,2.0,4.0,5.0,4.0,1.0,3.0,401200.0,consumption,47,0
rural,5,13225.94,14570.1,30622.56,17425.75,16574.84,33395.93,seasonal,53,3,90.1,3660.35,32.0,0.0,14,17,23.0,23.0,2013.0,371.03,2.48,8.0,0.057,0.9806087391515774,4.0,4.0,1.0,5.0,5.0,4.0,2.0,3.0,154800.0,agriculture,50,0
gig,4,26191.37,30825.56,44995.53,23254.21,28640.9,19164.19,daily-wage,12,2,13.3,1980.08,12.0,1.0,4,6,1.0,10.0,,481.66,1.65,5.6,0.289,0.1777792061195919,4.0,3.0,4.0,3.0,2.0,3.0,3.0,2.0,317800.0,education,9,0
gig,4,45109.62,27224.08,33332.41,26124.84,26053.99,19939.2,salaried-gig,14,4,46.0,2228.08,14.0,1.0,7,19,,,,714.74,2.11,7.3,0.362,0.3976235121088463,2.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,419400.0,business,41,0
rural,7,17060.46,10905.36,30278.33,13867.78,15853.3,29186.49,seasonal,40,4,,,,,10,13,,,2014.0,363.94,2.05,0.0,,,3.0,4.0,4.0,,3.0,4.0,2.0,2.0,203000.0,business,7,0
gig,3,7965.05,11461.36,14691.38,15292.77,25992.55,10267.48,daily-wage,7,2,30.8,666.38,0.0,1.0,5,16,9.0,22.0,2022.0,333.16,0.83,9.8,0.406,0.1216250715850805,3.0,2.0,4.0,2.0,2.0,3.0,4.0,2.0,292000.0,consumption,48,0
gig,3,23779.49,43370.99,33598.11,41243.27,42286.27,23150.91,salaried-gig,23,3,43.8,2403.14,25.0,1.0,12,23,6.0,12.0,2017.0,749.26,2.18,13.4,0.204,0.8360902724854248,3.0,5.0,3.0,4.0,2.0,5.0,1.0,4.0,26200.0,business,37,0
rural,5,10203.22,13117.18,15641.69,7304.73,7242.29,13081.15,self-employed,20,1,29.1,1135.55,14.0,0.0,3,11,,,2020.0,262.22,0.77,0.0,,,2.0,1.0,4.0,2.0,3.0,2.0,3.0,2.0,313100.0,medical,19,0
migrant,3,32331.89,26766.13,24674.41,25169.0,30624.29,27691.98,daily-wage,16,3,72.8,2821.34,23.0,0.0,6,7,15.0,21.0,2021.0,638.98,2.62,9.5,0.256,0.9309529160847522,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,406400.0,consumption,12,0
rural,7,8555.92,9806.77,22603.67,8428.16,9782.16,19086.92,daily-wage,26,2,60.1,1465.38,15.0,1.0,9,19,,,2020.0,289.15,1.2,3.6,0.375,0.3495402996332193,2.0,2.0,4.0,2.0,2.0,3.0,3.0,2.0,232400.0,agriculture,12,0
migrant,2,12759.68,15263.74,14098.58,13815.44,15370.53,16173.68,daily-wage,4,2,39.7,,3.0,0.0,3,11,,,2024.0,314.41,0.5,3.8,0.375,0.0478707108719001,2.0,1.0,4.0,2.0,2.0,1.0,4.0,1.0,303100.0,education,14,0
gig,2,51526.16,25175.51,38198.08,52305.43,45000.59,37671.83,salaried-gig,31,4,109.0,3712.06,30.0,1.0,21,22,,,2010.0,626.61,2.9,20.0,0.035,0.7385181857741168,5.0,5.0,2.0,4.0,4.0,4.0,2.0,4.0,80000.0,business,49,0
rural,7,13826.21,12729.26,20087.78,12910.66,8374.46,17761.3,seasonal,28,2,26.9,1948.69,14.0,0.0,8,16,,,2019.0,314.7,1.14,0.0,,,3.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,67600.0,agriculture,59,0
rural,7,5886.96,5056.75,11338.1,5869.6,4391.92,10632.75,seasonal,7,1,,,,,1,23,1.0,6.0,2023.0,100.0,0.67,0.0,,,1.0,1.0,4.0,2.0,1.0,2.0,4.0,1.0,128200.0,medical,12,1
gig,5,15872.14,10465.27,4259.46,20555.55,14707.4,3464.92,salaried-gig,4,1,2.6,1158.79,0.0,0.0,0,18,1.0,9.0,2023.0,419.13,0.6,3.2,0.494,0.0816893153895755,2.0,3.0,5.0,1.0,1.0,1.0,4.0,2.0,293500.0,consumption,44,1
migrant,2,20214.14,21474.39,21437.12,20829.59,26603.13,21566.28,daily-wage,10,3,59.8,1289.66,,1.0,7,19,,,2021.0,595.89,1.5,3.7,0.351,0.6029929084008747,2.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,452400.0,education,58,0
rural,5,11576.96,9553.89,22318.23,14283.34,13621.0,21215.16,self-employed,35,2,47.3,2262.27,16.0,0.0,7,8,7.0,19.0,2018.0,129.72,1.3,0.0,,,3.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,137500.0,business,6,0
rural,7,11147.47,11035.8,17240.5,9599.64,7555.33,16851.18,seasonal,21,2,,,,,1,11,,,2018.0,263.72,1.87,5.8,0.341,0.3358692267449573,4.0,2.0,3.0,3.0,2.0,,3.0,3.0,94500.0,consumption,34,0
rural,4,15658.92,16886.69,33649.15,24268.82,18894.17,25586.05,daily-wage,49,4,80.4,2619.66,26.0,1.0,21,21,15.0,16.0,,538.67,3.1,0.0,,,5.0,4.0,1.0,4.0,4.0,3.0,1.0,3.0,439000.0,medical,58,0
gig,3,25663.59,12565.81,31474.8,38069.54,31762.3,47161.57,salaried-gig,22,3,79.5,1228.57,5.0,1.0,15,22,3.0,8.0,2019.0,439.6,2.23,7.8,0.24,0.7952849352763676,4.0,2.0,2.0,4.0,3.0,3.0,3.0,5.0,363300.0,education,45,0
gig,2,40076.84,30951.71,32821.78,49412.91,36017.73,19163.39,salaried-gig,29,4,61.5,2966.96,15.0,1.0,18,21,10.0,11.0,2019.0,666.94,2.84,10.4,0.191,0.3718142370564476,4.0,5.0,2.0,5.0,3.0,4.0,2.0,4.0,230500.0,business,19,0
migrant,3,25816.48,24128.68,22950.55,28647.06,27671.63,26672.86,self-employed,6,3,46.8,1818.63,30.0,1.0,13,18,5.0,8.0,2018.0,573.68,2.27,4.5,0.294,0.6811926069698355,3.0,3.0,2.0,,4.0,3.0,2.0,3.0,282600.0,consumption,13,0
rural,4,5734.74,5757.65,10853.22,6522.2,5594.8,9477.3,seasonal,9,1,,,,,3,24,0.0,8.0,2024.0,246.03,0.72,0.0,,,1.0,1.0,4.0,1.0,2.0,1.0,4.0,1.0,211500.0,consumption,32,1
migrant,2,11792.12,19167.56,13735.0,16520.43,21314.7,15790.0,self-employed,2,2,26.5,1581.3,15.0,0.0,2,21,2.0,22.0,,449.36,0.78,5.4,0.402,0.0177628291746008,1.0,2.0,4.0,2.0,2.0,,4.0,1.0,230500.0,education,60,1
migrant,4,12152.08,12741.13,10031.44,13555.3,19178.33,16012.85,self-employed,5,2,3.5,1377.54,0.0,0.0,0,8,1.0,16.0,2023.0,488.81,0.5,4.4,0.427,0.004235661825335,2.0,2.0,5.0,2.0,3.0,1.0,5.0,3.0,495900.0,education,51,1
gig,3,36284.16,40269.35,39455.9,34133.11,47186.93,43998.66,salaried-gig,38,4,88.5,3307.96,23.0,1.0,19,19,13.0,14.0,2010.0,740.97,2.37,12.9,0.167,0.970637258606158,5.0,5.0,2.0,4.0,4.0,4.0,2.0,5.0,363900.0,consumption,17,0
rural,5,10569.74,12013.34,19342.42,8244.24,12395.38,22726.7,self-employed,33,2,20.5,2168.54,11.0,0.0,5,7,10.0,16.0,2020.0,490.37,1.18,9.4,0.385,0.3716613756298928,4.0,4.0,3.0,4.0,2.0,2.0,5.0,4.0,114900.0,agriculture,25,0
gig,3,15736.78,13779.78,13636.19,11588.68,19170.34,20009.51,self-employed,1,2,0.0,805.0,1.0,0.0,1,6,0.0,13.0,2023.0,386.11,1.17,0.0,,,2.0,2.0,4.0,2.0,2.0,1.0,5.0,2.0,140700.0,business,30,0
gig,3,44425.87,26263.16,22455.61,29698.16,23566.77,19560.46,salaried-gig,18,3,81.7,972.11,11.0,0.0,8,15,3.0,8.0,2018.0,746.67,2.02,3.4,0.305,0.3102139447346486,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,417600.0,business,60,0
gig,4,18094.76,24529.02,54942.84,35618.52,37919.13,41544.17,self-employed,19,3,54.0,2064.51,12.0,0.0,8,20,3.0,11.0,2017.0,530.87,1.53,11.8,0.207,0.191500248181806,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,59200.0,consumption,54,0
migrant,1,22838.21,25457.64,16953.81,23783.44,21186.76,28322.74,self-employed,5,2,53.3,1609.3,17.0,0.0,7,9,14.0,24.0,2022.0,395.69,1.7,14.6,0.4,0.8271853966349125,4.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,182500.0,consumption,28,0
gig,2,43870.98,16922.78,31015.58,33432.99,22173.52,38471.4,self-employed,21,4,65.4,2064.59,24.0,1.0,6,7,4.0,6.0,2019.0,545.7,2.52,8.0,0.205,0.7730049804088901,3.0,4.0,2.0,,4.0,,2.0,4.0,205600.0,education,11,0
gig,3,24771.83,26316.72,19655.67,34202.71,14129.19,26600.72,salaried-gig,12,2,59.3,1438.66,17.0,0.0,2,7,8.0,21.0,2019.0,577.99,1.38,6.5,0.341,0.1215577373294602,2.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,213500.0,medical,33,0
rural,6,8446.25,8779.0,15038.33,10985.54,7468.57,10328.57,daily-wage,22,3,16.1,1514.0,15.0,0.0,8,17,2.0,16.0,2020.0,369.3,1.34,3.2,0.468,0.1635085067863708,3.0,2.0,4.0,3.0,1.0,2.0,3.0,2.0,33200.0,business,53,1
rural,4,11540.42,13749.0,14868.92,13465.84,12676.49,23666.68,self-employed,27,2,37.0,1924.21,14.0,0.0,7,16,3.0,7.0,2017.0,340.43,1.51,4.6,0.211,0.5784246330663737,3.0,2.0,2.0,,3.0,3.0,3.0,2.0,133600.0,agriculture,6,0
gig,2,9251.23,17626.46,12308.14,13100.27,10273.09,17058.23,salaried-gig,7,1,32.8,362.3,1.0,0.0,1,12,,,2023.0,375.85,0.5,0.0,,,3.0,1.0,4.0,1.0,2.0,2.0,5.0,3.0,164300.0,consumption,27,0
rural,5,19751.9,15707.84,21964.68,19477.04,18625.84,26507.42,seasonal,50,4,,,,,10,24,,,2012.0,369.91,2.46,0.0,,,2.0,4.0,3.0,5.0,5.0,4.0,2.0,4.0,107700.0,medical,44,0
rural,7,12582.22,10708.24,25788.05,13665.95,14540.81,17971.02,daily-wage,32,3,,,,,12,22,,,2018.0,375.99,1.46,0.0,,,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,95200.0,agriculture,6,1
gig,5,34429.0,34407.67,55694.03,21282.51,22861.02,28773.4,daily-wage,26,4,64.4,2667.28,20.0,1.0,8,21,,,2020.0,464.38,2.63,5.3,0.173,0.6589248407133133,4.0,4.0,2.0,4.0,3.0,4.0,2.0,4.0,21500.0,business,37,0
gig,5,23896.33,7642.95,25741.32,13852.9,22585.12,21028.71,salaried-gig,8,1,5.1,972.11,0.0,0.0,5,7,4.0,17.0,2023.0,401.6,1.53,10.4,0.392,0.1668052112312655,3.0,2.0,4.0,2.0,1.0,2.0,5.0,2.0,100100.0,education,37,0
gig,3,29603.24,24557.46,29295.31,27672.56,12703.12,13285.87,salaried-gig,12,2,30.9,1498.93,9.0,0.0,2,16,2.0,15.0,2023.0,594.7,0.76,5.1,0.393,0.2496613538323057,1.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,39100.0,business,8,1
rural,6,9327.35,11855.84,18506.45,8122.68,8991.94,20713.65,self-employed,29,3,45.4,1582.74,16.0,1.0,3,6,5.0,11.0,2019.0,100.0,1.89,0.0,,,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,457100.0,education,28,0
migrant,3,18252.76,29507.45,25150.2,15308.78,27853.71,17942.45,daily-wage,3,2,40.6,1699.96,,1.0,9,24,7.0,15.0,2020.0,474.24,1.52,13.5,0.336,0.1835115064160513,3.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,250400.0,medical,23,0
gig,3,24269.62,34163.47,17024.34,23650.69,18139.91,21159.45,salaried-gig,7,3,2.9,950.05,5.0,1.0,2,20,1.0,15.0,2022.0,347.75,1.03,4.3,0.384,0.1610987620228221,1.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,400600.0,business,14,1
gig,3,68340.88,46545.98,36169.36,9651.67,43816.12,30774.7,self-employed,32,4,87.8,3525.37,24.0,1.0,10,15,6.0,7.0,2013.0,658.86,2.66,12.9,0.209,0.7704156792376448,3.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,164900.0,education,30,0
gig,3,39061.7,42501.92,35456.61,42076.59,31117.55,20477.77,daily-wage,20,3,37.8,2675.01,13.0,0.0,9,21,13.0,21.0,2022.0,390.43,1.95,5.2,0.185,0.434025000330406,3.0,4.0,3.0,4.0,4.0,4.0,3.0,2.0,236300.0,consumption,11,0
gig,4,21931.02,18888.25,26533.99,37971.63,34193.03,30501.94,self-employed,21,2,39.9,1441.12,3.0,0.0,2,10,12.0,18.0,2022.0,535.69,1.42,3.3,0.236,0.7450616716939834,1.0,2.0,2.0,2.0,3.0,3.0,4.0,3.0,421800.0,consumption,36,0
migrant,4,26759.4,24121.43,29903.9,28439.25,28958.37,31368.38,daily-wage,7,3,59.3,2382.79,12.0,0.0,6,11,8.0,15.0,2018.0,726.53,2.21,5.6,0.212,0.8571694755550334,3.0,3.0,4.0,,3.0,2.0,2.0,4.0,332100.0,consumption,21,0
gig,4,47630.53,32097.87,2000.0,21043.82,31242.36,20556.04,salaried-gig,14,4,45.5,2106.37,24.0,1.0,6,16,3.0,11.0,2019.0,705.7,1.94,9.8,0.242,0.7317714005507158,3.0,3.0,2.0,,4.0,2.0,3.0,4.0,306000.0,business,8,1
rural,6,6994.65,7924.28,14197.96,9421.59,8623.48,14150.01,daily-wage,16,2,12.5,1340.49,10.0,0.0,0,8,9.0,18.0,2020.0,183.5,0.98,0.0,,,2.0,3.0,4.0,1.0,2.0,3.0,4.0,3.0,333800.0,consumption,22,1
rural,5,9372.53,11958.37,20767.59,9407.35,9358.45,18558.03,seasonal,23,3,2.6,1595.54,12.0,0.0,9,24,3.0,6.0,2021.0,249.94,1.71,5.5,0.458,0.3536268461728973,3.0,1.0,3.0,3.0,1.0,2.0,4.0,2.0,439500.0,business,26,0
gig,2,28400.55,17590.74,17979.6,34750.54,20326.02,3977.52,salaried-gig,14,3,56.1,2136.19,15.0,1.0,1,9,8.0,15.0,2021.0,638.13,1.71,0.0,,,1.0,3.0,3.0,3.0,3.0,,3.0,3.0,101200.0,consumption,25,1
migrant,2,15632.07,13461.6,17437.87,18526.32,14807.9,23800.34,daily-wage,6,2,48.5,,11.0,0.0,7,22,3.0,11.0,2022.0,513.63,1.4,7.7,0.457,0.0918138558096681,3.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,476000.0,consumption,51,0
gig,4,25227.73,30410.81,29229.48,27531.5,31877.28,37836.07,daily-wage,19,3,61.2,1516.64,12.0,0.0,2,24,9.0,24.0,2022.0,539.8,1.04,8.7,0.365,0.4556511939085859,4.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,167800.0,medical,24,0
gig,2,37893.72,18157.17,52767.13,47110.92,34331.36,19347.82,salaried-gig,23,4,57.7,2227.29,16.0,1.0,4,10,8.0,20.0,2020.0,645.43,2.16,9.7,0.24,0.2698542066465128,3.0,4.0,2.0,3.0,2.0,,3.0,3.0,446200.0,business,59,0
migrant,4,18132.76,18667.56,15866.03,21921.75,20913.17,21198.37,self-employed,5,2,31.4,1051.29,9.0,0.0,15,18,1.0,11.0,2021.0,509.68,1.53,8.8,0.333,0.2324649451502491,3.0,2.0,3.0,3.0,2.0,3.0,4.0,3.0,74400.0,business,42,0
rural,4,11600.95,10788.38,21980.93,10659.48,8749.03,16558.93,daily-wage,28,1,69.7,1059.5,14.0,0.0,1,15,2.0,24.0,2018.0,197.3,1.19,0.0,,,3.0,4.0,4.0,2.0,3.0,3.0,3.0,2.0,452200.0,agriculture,46,0
gig,3,22432.59,23181.75,47889.34,38577.12,39774.58,35832.02,salaried-gig,40,4,107.6,3823.04,31.0,1.0,11,11,17.0,21.0,2015.0,686.41,2.87,17.3,0.142,0.7493883051791802,4.0,4.0,2.0,5.0,4.0,3.0,3.0,5.0,251600.0,consumption,22,0
rural,6,14900.62,19912.48,30066.02,16085.4,11082.22,19402.02,seasonal,40,4,70.0,2532.31,12.0,0.0,6,11,,,2016.0,283.54,2.97,9.8,0.249,0.745869401850186,5.0,4.0,4.0,4.0,4.0,,3.0,3.0,32600.0,business,22,0
gig,5,30976.67,9149.22,16184.65,23127.77,28344.39,12195.73,daily-wage,16,3,35.5,1816.8,16.0,0.0,6,22,4.0,6.0,2017.0,507.43,1.62,14.2,0.309,0.2790654808664452,2.0,3.0,4.0,2.0,2.0,3.0,3.0,2.0,495000.0,consumption,31,0
rural,5,14290.43,9577.41,22358.84,13455.27,13545.14,20524.58,seasonal,37,3,25.2,2188.17,23.0,0.0,10,15,15.0,16.0,2015.0,202.86,2.15,6.0,0.321,0.8981341701861616,3.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,24300.0,medical,30,0
migrant,2,28765.22,26237.99,27128.74,29430.87,27536.37,27845.59,daily-wage,12,3,76.6,2021.83,15.0,1.0,4,7,7.0,11.0,2019.0,419.88,2.07,8.3,0.199,0.3494161450907905,4.0,3.0,1.0,3.0,3.0,4.0,4.0,3.0,231000.0,consumption,18,0
rural,7,11031.26,11478.98,22592.19,12221.73,10921.25,24274.63,daily-wage,33,2,52.9,1964.35,9.0,0.0,4,7,11.0,20.0,2017.0,294.18,1.87,0.0,,,2.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,196200.0,agriculture,17,0
rural,7,14416.12,12773.08,22092.97,12130.06,11030.93,16322.28,seasonal,31,3,,,,,10,21,10.0,17.0,2015.0,345.34,1.1,0.0,,,2.0,2.0,1.0,2.0,3.0,4.0,3.0,3.0,289700.0,agriculture,32,0
